Ticker,Last Alert Date,Buy Price,Target,Call,Status
BLOIN.BO,2024-10-17,,44.82,Short,Close
BLOOM.BO,2024-10-18,,15.98,Short,Close
BLS.NS,2024-10-16,,384.55,Short,Close
BLUECHIP.NS,2024-09-30,5.81,,Long,Open
BLUECHIPT.BO,2024-10-10,,166.26,Short,Close
BLUECLOUDS.BO,2024-09-13,190.01,,Long,Open
BLUECOAST.BO,2024-09-23,,11.86,Short,Close
BLUEDART.NS,2024-10-09,,8785.14,Short,Close
BLUESTARCO.NS,2024-10-15,,2077.21,Short,Close
BMAL.BO,2024-09-25,,11.44,Short,Close
BNALTD.BO,2024-10-18,,606.85,Short,Close
BNL.BO,2024-09-11,82.38,,Long,Open
BNRSEC.BO,2024-10-15,,202.5,Short,Close
BNRUDY.BO,2024-10-14,,90.51,Short,Close
BODALCHEM.NS,2024-10-16,,86.46,Short,Close
BOMBCYC.BO,2024-10-16,,1880.49,Short,Close
BOMBWIR.BO,2024-10-16,69.24,,Long,Open
BOMDYEING.NS,2024-10-18,,248.31,Short,Close
BOMOXY-B1.BO,2024-08-30,,38190.89,Short,Close
BOROLTD.NS,2024-10-16,,451.81,Short,Close
BORORENEW.NS,2024-08-28,,532.29,Short,Close
BOSCHLTD.NS,2024-10-14,,38753.55,Short,Close
BPCAP.BO,2024-09-13,,5.9,Short,Close
BPCL.NS,2024-09-30,,372.04,Short,Close
BPL.NS,2024-10-16,,119.32,Short,Close
BRADYM.BO,2024-10-15,,2493.38,Short,Close
BRAHMINFRA.BO,2024-08-14,,100.04,Short,Close
BRAWN.BO,2024-10-21,20.33,,Long,Open
BRIDGESE.BO,2024-08-30,3.66,,Long,Open
BRIGADE.NS,2024-10-01,,1428.75,Short,Close
BRIGHTBR.BO,2024-10-08,272.27,,Long,Open
BRIJLEAS.BO,2024-10-18,10.77,,Long,Open
BRITANNIA.NS,2024-10-03,,6424.93,Short,Close
BRNL.NS,2024-09-16,,50.43,Short,Close
BROOKS.NS,2024-10-01,,152.55,Short,Close
BRPL.BO,2024-10-16,,142.41,Short,Close
BSE.NS,2024-10-14,,4876.34,Short,Close
BSHSL.NS,2024-10-10,,181.8,Short,Close
BSL.NS,2024-10-09,213.1,,Long,Open
BSLSENETFG.BO,2024-09-27,,85.38,Short,Close
BSOFT.NS,2024-10-09,578.66,,Long,Open
BTML.NS,2024-10-15,,14.64,Short,Close
BTTL.BO,2024-10-14,,54.09,Short,Close
BURNPUR.NS,2024-08-16,,8.26,Short,Close
BUTTERFLY.NS,2024-09-19,1138.18,,Long,Open
BVCL.NS,2024-10-16,,61.88,Short,Close
BYKE.NS,2024-10-14,,72.98,Short,Close
CALCOM.BO,2024-10-09,121.5,,Long,Open
CALSOFT.NS,2024-10-01,,22.85,Short,Close
CAMEXLTD.BO,2024-10-16,,58.84,Short,Close
CAMLINFINE.NS,2024-10-18,,110.75,Short,Close
CAMS.BO,2024-10-17,,4928.74,Short,Close
CANBK.NS,2024-09-27,,112.49,Short,Close
CANFINHOME.NS,2024-10-15,,891.25,Short,Close
CANTABIL.NS,2024-10-16,,257.58,Short,Close
CAPACITE.NS,2024-10-11,,400.47,Short,Close
CAPLIPOINT.NS,2024-10-01,1952.19,,Long,Open
CAPPIPES.BO,2024-07-29,,19.28,Short,Close
CAPRICORN.BO,2024-10-15,13.59,,Long,Open
CAPRIHANS.BO,2024-10-15,,175.27,Short,Close
CAPRO.BO,2024-10-18,49.92,,Long,Open
CAPTRUST.NS,2024-10-14,,137.19,Short,Close
CARBORUNIV.NS,2024-07-29,,1760.75,Short,Close
CAREERP.NS,2024-10-15,,522.48,Short,Close
CARERATING.NS,2024-10-17,,1260.49,Short,Close
CARNATIN.BO,2024-09-02,6.26,,Long,Open
CARYSIL.NS,2024-10-10,798.36,,Long,Open
CASTROLIND.NS,2024-08-27,,279.06,Short,Close
CATVISION.BO,2024-10-08,24.37,,Long,Open
CCHHL.NS,2024-10-01,,21.83,Short,Close
