Buy Date,Ticker,Buy Strat,Last Alert Date,ll,Buy Price,Target,Call,Status,CMP,CMP_Date,Quantity,Hit Type,Sell Price,Broker
2000-01-01,ANMOL.BO,,2024-10-25,,30.27,,Long,Open,,2000-01-01,,,,India
2000-01-01,ANNAINFRA.BO,,2024-10-25,,,35.52,Short,Close,,2000-01-01,,,,India
2000-01-01,ANSALAPI.NS,,2024-09-20,,,14.59,Short,Close,,2000-01-01,,,,India
2000-01-01,ANSALBU.BO,,2024-10-21,,,215.88,Short,Close,,2000-01-01,,,,India
2000-01-01,ANSALHSG.BO,,2024-10-29,,16.61,,Long,Open,,2000-01-01,,,,India
2000-01-01,ANSINDUS.BO,,2024-10-30,,8.88,,Long,Open,,2000-01-01,,,,India
2000-01-01,ANUHPHR.BO,,2024-10-14,,,210.25,Short,Close,,2000-01-01,,,,India
2024-10-31,ANUP.NS,ATR_UC,2024-09-26,2647.0,2205.76,,Long,Open,3481.6,2024-11-01,-2.2663403136615003,,,India
2000-01-01,ANURAS.NS,,2024-10-28,,688.47,,Long,Open,,2000-01-01,,,,India
2024-10-31,APARINDS.NS,ATR_BW,2024-10-29,9210.8,9317.55,,Long,Open,10062.35,2024-11-01,9.36768149882904,,,India
2000-01-01,APCL.NS,,2024-10-04,,,186.5,Short,Close,,2000-01-01,,,,India
2000-01-01,APCOTEXIND.NS,,2024-08-30,,,460.96,Short,Close,,2000-01-01,,,,India
2000-01-01,APEX.NS,,2024-10-18,,,263.35,Short,Close,,2000-01-01,,,,India
2024-10-31,APIL.BO,ATRBB_W,2024-10-30,20.25,22.17,,Long,Open,25.39,2024-11-01,520.8333333333329,,,India
2000-01-01,APLAB.BO,,2024-09-06,,,83.16,Short,Close,,2000-01-01,,,,India
2024-10-31,APLAPOLLO.NS,EW_BW,2024-10-31,1376.7,1500.34,,Long,Open,1520.45,2024-11-01,8.087997411840837,,,India
2000-01-01,APLLTD.NS,,2024-10-30,,1065.18,,Long,Open,,2000-01-01,,,,India
2000-01-01,APMIN.BO,,2024-09-16,,,59.06,Short,Close,,2000-01-01,,,,India
2000-01-01,APOLLO.NS,,2024-10-24,,94.78,,Long,Open,,2000-01-01,,,,India
2000-01-01,APOLLOFI.BO,,2024-10-28,,796.13,,Long,Open,,2000-01-01,,,,India
2000-01-01,APOLLOHOSP.NS,,2024-10-08,,6796.53,,Long,Open,,2000-01-01,,,,India
2024-10-31,APOLLOPIPE.NS,EW_BW,2024-10-31,472.35,526.0,,Long,Open,530.0,2024-11-01,18.639328984156577,,,India
2024-10-31,APOLLOTYRE.NS,EW_DC,2024-10-31,474.25,497.99,,Long,Open,504.95,2024-11-01,42.12299915754,,,India
2000-01-01,APOLSINHOT.NS,,2024-10-28,,1702.5,,Long,Open,,2000-01-01,,,,India
2000-01-01,APTECHT.NS,,2024-10-29,,172.63,,Long,Open,,2000-01-01,,,,India
2024-10-31,ARAVALIS.BO,BB_DC,2024-10-30,4.38,4.66,,Long,Open,5.06,2024-11-01,3571.4285714285684,,,India
2000-01-01,ARCEEIN.BO,,2024-10-25,,5.6,,Long,Open,,2000-01-01,,,,India
2000-01-01,ARCFIN.BO,,2024-10-18,,1.96,,Long,Open,,2000-01-01,,,,India
2000-01-01,ARCHIDPLY.NS,,2024-10-28,,112.07,,Long,Open,,2000-01-01,,,,India
2000-01-01,ARCHIES.NS,,2024-10-01,,33.3,,Long,Open,,2000-01-01,,,,India
2000-01-01,ARCHITORG.BO,,2024-10-11,,,46.93,Short,Close,,2000-01-01,,,,India
2000-01-01,ARENTERP.NS,,2024-08-09,,,77.49,Short,Close,,2000-01-01,,,,India
2000-01-01,AREXMIS.BO,,2024-08-27,,,196.21,Short,Close,,2000-01-01,,,,India
2000-01-01,ARFIN.BO,,2024-10-30,,34.87,,Long,Open,,2000-01-01,,,,India
2024-10-31,ARIES.NS,BB_DC,2024-10-28,224.2,233.5,,Long,Open,264.35,2024-11-01,107.52688172042997,,,India
2000-01-01,ARIHANT.BO,,2024-10-04,,463.92,,Long,Open,,2000-01-01,,,,India
2000-01-01,ARIHANTSUP.NS,,2024-10-01,,,430.0,Short,Close,,2000-01-01,,,,India
2000-01-01,ARISE.BO,,2024-10-24,,,36.75,Short,Close,,2000-01-01,,,,India
2000-01-01,ARMANFIN.NS,,2024-09-20,,,1839.75,Short,Close,,2000-01-01,,,,India
2000-01-01,ARNOLD.BO,,2024-10-28,,48.42,,Long,Open,,2000-01-01,,,,India
2000-01-01,AROGRANITE.NS,,2024-09-23,,,60.68,Short,Close,,2000-01-01,,,,India
2000-01-01,ARROWGREEN.NS,,2024-10-24,,,824.15,Short,Close,,2000-01-01,,,,India
2000-01-01,ARSHIYA.NS,,2024-08-30,,,5.38,Short,Close,,2000-01-01,,,,India
2000-01-01,ARSSINFRA.NS,,2024-10-29,,16.41,,Long,Open,,2000-01-01,,,,India
2000-01-01,ARTEFACT.BO,,2024-09-13,,,81.95,Short,Close,,2000-01-01,,,,India
2000-01-01,ARTEMISMED.NS,,2024-10-30,,272.24,,Long,Open,,2000-01-01,,,,India
2000-01-01,ARTNIRMAN.NS,,2024-10-29,,56.5,,Long,Open,,2000-01-01,,,,India
2000-01-01,ARTSONEN.BO,,2024-10-24,,166.4,,Long,Open,,2000-01-01,,,,India
2000-01-01,ARUNAHTEL.BO,,2024-09-12,,,12.18,Short,Close,,2000-01-01,,,,India
2000-01-01,ARVEE.NS,,2024-10-29,,156.22,,Long,Open,,2000-01-01,,,,India
2024-10-31,ARVIND.NS,BBLR_DC,2024-10-28,308.35,326.38,,Long,Open,371.7,2024-11-01,55.46311702717701,,,India
2000-01-01,ARVINDFASN.NS,,2024-10-15,,,634.66,Short,Close,,2000-01-01,,,,India
2000-01-01,ARVSMART.NS,,2024-10-28,,802.82,,Long,Open,,2000-01-01,,,,India
2024-10-31,ARYAMAN.BO,EWLR_DC,2024-10-31,375.0,404.99,,Long,Open,435.65,2024-11-01,33.34444814938312,,,India
2024-10-31,ASAHIINDIA.NS,ATRBB_DC,2024-10-30,657.65,691.7,,Long,Open,750.3,2024-11-01,29.368575624082172,,,India
2024-10-31,ASAHISONG.NS,EW_DC,2024-10-31,392.65,408.52,,Long,Open,427.75,2024-11-01,63.01197227473218,,,India
2000-01-01,ASAL.NS,,2024-10-30,,671.66,,Long,Open,,2000-01-01,,,,India
2000-01-01,ASALCBR.NS,,2024-10-28,,836.0,,Long,Open,,2000-01-01,,,,India
2000-01-01,ASHAI.BO,,2024-10-15,,,17.06,Short,Close,,2000-01-01,,,,India
2000-01-01,ASHAPURMIN.NS,,2024-10-30,,227.01,,Long,Open,,2000-01-01,,,,India
2000-01-01,ASHCAP.BO,,2024-10-28,,4.08,,Long,Open,,2000-01-01,,,,India
2000-01-01,ASHIANA.NS,,2024-09-13,,,356.92,Short,Close,,2000-01-01,,,,India
2024-10-31,ASHIMASYN.NS,EWBB_DC,2024-10-31,29.09,31.77,,Long,Open,31.75,2024-11-01,373.134328358209,,,India
2000-01-01,ASHIS.BO,,2024-10-30,,46.13,,Long,Open,,2000-01-01,,,,India
2000-01-01,ASHISHPO.BO,,2024-10-09,,,64.01,Short,Close,,2000-01-01,,,,India
2000-01-01,ASHNOOR.BO,,2024-10-17,,,51.58,Short,Close,,2000-01-01,,,,India
2000-01-01,ASHOKA.NS,,2024-10-28,,217.3,,Long,Open,,2000-01-01,,,,India
2000-01-01,ASHOKLEY.NS,,2024-08-27,,,263.14,Short,Close,,2000-01-01,,,,India
2000-01-01,ASHRAM.BO,,2024-10-29,,5.07,,Long,Open,,2000-01-01,,,,India
2024-10-31,ASHSI.BO,EW_DC,2024-10-31,35.55,37.38,,Long,Open,38.57,2024-11-01,546.4480874316923,,,India
2000-01-01,ASIANENE.BO,,2024-10-29,,329.3,,Long,Open,,2000-01-01,,,,India
2000-01-01,ASIANHOTNR.NS,,2024-10-28,,178.12,,Long,Open,,2000-01-01,,,,India
2000-01-01,ASIANPAINT.NS,,2024-09-17,,,3337.88,Short,Close,,2000-01-01,,,,India
2000-01-01,ASIANTILES.NS,,2024-09-25,,,90.65,Short,Close,,2000-01-01,,,,India
2000-01-01,ASIANTNE.BO,,2024-10-28,,13.77,,Long,Open,,2000-01-01,,,,India
2000-01-01,ASIAPAK.BO,,2024-10-28,,68.54,,Long,Open,,2000-01-01,,,,India
2000-01-01,ASINPET.BO,,2021-03-05,,3.34,,Long,Open,,2000-01-01,,,,India
2000-01-01,ASITCFIN.BO,,2024-10-01,,,173.09,Short,Close,,2000-01-01,,,,India
2000-01-01,ASMTEC.BO,,2024-10-25,,1377.6,,Long,Open,,2000-01-01,,,,India
2000-01-01,ASPINWALL.NS,,2024-10-23,,269.92,,Long,Open,,2000-01-01,,,,India
2000-01-01,ASPIRA.BO,,2024-10-28,,50.41,,Long,Open,,2000-01-01,,,,India
2000-01-01,ASTAR.BO,,2024-09-23,,,881.5,Short,Close,,2000-01-01,,,,India
2000-01-01,ASTEC.NS,,2024-09-24,,1223.06,,Long,Open,,2000-01-01,,,,India
2000-01-01,ASTERDM.NS,,2024-10-24,,431.24,,Long,Open,,2000-01-01,,,,India
2000-01-01,ASTRAL.NS,,2024-09-26,,,2022.42,Short,Close,,2000-01-01,,,,India
2000-01-01,ASTRAMICRO.NS,,2024-10-28,,727.18,,Long,Open,,2000-01-01,,,,India
