Ticker,Last Alert Date,Buy Price,Target,Call,Status
BLBLIMITED.NS,2024-12-17,,24.34,Short,Close
BLIL.BO,2024-12-06,,81.61,Short,Close
BLISSGVS.NS,2025-01-06,169.26,,Long,Open
BLKASHYAP.NS,2025-01-08,,83.5,Short,Close
BLOIN.BO,2025-01-02,,42.5,Short,Close
BLOOM.BO,2024-10-18,,15.98,Short,Close
BLS.NS,2025-01-03,,515.88,Short,Close
BLUECHIP.NS,2025-01-03,,9.52,Short,Close
BLUECHIPT.BO,2024-12-31,,186.25,Short,Close
BLUECLOUDS.BO,2025-01-08,,103.96,Short,Close
BLUECOAST.BO,2024-12-10,11.83,,Long,Open
BLUEDART.NS,2025-01-01,,6979.5,Short,Close
BLUESTARCO.NS,2025-01-03,,2337.55,Short,Close
BMAL.BO,2024-12-02,10.17,,Long,Open
BNALTD.BO,2025-01-09,,660.26,Short,Close
BNL.BO,2025-01-08,119.72,,Long,Open
BNRSEC.BO,2025-01-10,,256.75,Short,Close
BNRUDY.BO,2025-01-01,,66.53,Short,Close
BODALCHEM.NS,2024-12-04,,76.35,Short,Close
BOMBCYC.BO,2025-01-03,1867.5,,Long,Open
BOMBWIR.BO,2024-12-13,,71.39,Short,Close
BOMDYEING.NS,2025-01-02,,197.01,Short,Close
BOMOXY-B1.BO,2025-01-14,28845.5,,Long,Open
BOROLTD.NS,2024-12-03,,482.05,Short,Close
BORORENEW.NS,2025-01-14,563.93,,Long,Open
BOSCHLTD.NS,2024-12-16,,36587.01,Short,Close
BPCAP.BO,2024-11-11,5.25,,Long,Open
BPCL.NS,2024-12-11,,307.24,Short,Close
BPL.NS,2024-12-16,,138.68,Short,Close
BRADYM.BO,2025-01-02,,1724.26,Short,Close
BRAHMINFRA.BO,2024-12-03,,65.38,Short,Close
BRAWN.BO,2025-01-01,20.93,,Long,Open
BRIDGESE.BO,2025-01-08,,12.46,Short,Close
BRIGADE.NS,2025-01-03,,1295.61,Short,Close
BRIGHTBR.BO,2025-01-09,,486.76,Short,Close
BRIJLEAS.BO,2025-01-03,,9.95,Short,Close
BRITANNIA.NS,2024-12-27,4755.68,,Long,Open
BRNL.NS,2025-01-14,41.88,,Long,Open
BROOKS.NS,2025-01-06,,194.97,Short,Close
BRPL.BO,2025-01-08,,95.39,Short,Close
BSE.NS,2025-01-13,5079.8,,Long,Open
BSHSL.NS,2025-01-01,,157.25,Short,Close
BSL.NS,2024-12-24,,317.5,Short,Close
BSLSENETFG.BO,2024-12-05,,80.69,Short,Close
BSOFT.NS,2024-12-11,,613.19,Short,Close
BTML.NS,2025-01-08,,13.59,Short,Close
BTTL.BO,2025-01-03,,58.5,Short,Close
BURNPUR.NS,2024-12-11,,7.67,Short,Close
BUTTERFLY.NS,2024-12-06,,820.21,Short,Close
BVCL.NS,2024-12-05,,56.33,Short,Close
BYKE.NS,2025-01-03,,98.21,Short,Close
CALCOM.BO,2025-01-14,115.47,,Long,Open
CALSOFT.NS,2025-01-02,16.64,,Long,Open
CAMEXLTD.BO,2024-12-11,,68.67,Short,Close
